hostname;interface;link_state;admin_state;vlan;ip;description
DC-WAN-RTR-01;Port-channel2.150;up;up;630;192.168.100.81;KCP JATIBENING | 192.168.100.82
DC-WAN-RTR-01;Port-channel2.151;up;up;631;192.168.101.33;KC BALIKPAPAN | 192.168.101.33
DC-WAN-RTR-01;Port-channel2.152;up;up;634;30.50.78.1;LINK TO HAYAM WURUK JKT : 30.50.78.1
DC-WAN-RTR-01;Port-channel2.153;up;up;638;192.168.100.117;KCP CIDENG | 192.168.100.117
DC-WAN-RTR-01;Port-channel2.154;up;up;640;192.168.100.101;KCP PATROL | 192.168.100.102
DC-WAN-RTR-01;Port-channel2.155;up;up;641;192.168.100.93;KCP SUKANAGARA | 192.168.100.94
DC-WAN-RTR-01;Port-channel2.156;up;up;642;192.168.100.109;KK MANAHAN SOLO |192.168.100.109
DC-WAN-RTR-01;Port-channel2.157;up;up;643;192.168.103.217;KCP JAKARTA PASAR BARU
DC-WAN-RTR-01;Port-channel2.158;up;up;644;192.168.100.97;AFO BALIKPAPAN
DC-WAN-RTR-01;Port-channel2.159;up;up;645;192.168.100.73;KCP WARU | 192.168.100.74
DC-WAN-RTR-01;Port-channel2.160;up;up;647;192.168.100.105;KCP MEDAN DISKI | 192.168.100.106
DC-WAN-RTR-01;Port-channel2.161;up;up;648;192.168.100.141;KCP ADIWERNA TEGAL | 192.168.100.141
DC-WAN-RTR-01;Port-channel2.162;up;up;649;192.168.100.161;KCP WIROBRAJAN YOGYAKARTA | 192.168.100.161
DC-WAN-RTR-01;Port-channel2.163;up;up;651;10.129.17.2;KCP NGALIYAN | 192.168.100.169
DC-WAN-RTR-01;Port-channel2.164;up;up;652;30.57.28.1;LINK KCP BATU SANGKAR | 30.57.28.1
DC-WAN-RTR-01;Port-channel2.165;up;up;653;30.50.52.1;LINK KCP Dewi sartika | 30.50.52.1
DC-WAN-RTR-01;Port-channel2.166;up;up;659;192.168.100.193;KCP PRIUK TANGERANG
DC-WAN-RTR-01;Port-channel2.167;up;up;660;192.168.100.201;KCP BOGOR SUDIRMAN 192.168.100.201
DC-WAN-RTR-01;Port-channel2.168;up;up;;;UDAH_TUTUP
DC-WAN-RTR-01;Port-channel2.169;up;up;662;192.168.100.241;KC SERANG | 192.168.100.241
DC-WAN-RTR-01;Port-channel2.170;up;up;663;192.168.101.77;KC SEMARANG | 192.168.101.77
DC-WAN-RTR-01;Port-channel2.171;up;up;666;192.168.101.45;LINK KC BANDAR LAMPUNG | 192.168.101.46
